Time,Equipment_ID,Vibration(mm/s),Temperature(°C),Current(A),Runtime(hr)
2025-07-18 08:00:00,M007,-2.94,27.35,10.84,653.0
2025-07-18 08:01:00,M003,-3.73,26.19,9.88,541.0
2025-07-18 08:02:00,M002,-2.09,26.28,10.39,500.0
2025-07-18 08:03:00,M009,-3.08,25.47,9.51,365.0
2025-07-18 08:04:00,M008,-3.73,25.62,10.16,373.0
2025-07-18 08:05:00,M001,-2.96,25.17,9.94,566.0
2025-07-18 08:06:00,M005,-3.19,25.58,9.9,486.0
2025-07-18 08:07:00,M010,-3.69,27.92,11.08,478.0
2025-07-18 08:08:00,M006,-2.69,26.34,10.5,559.0
2025-07-18 08:09:00,M005,-2.64,28.23,11.5,700.0
2025-07-18 08:10:00,M002,-2.78,26.33,10.02,511.0
2025-07-18 08:11:00,M010,-3.62,25.14,9.69,416.0
2025-07-18 08:12:00,M002,-3.92,25.32,10.01,450.0
2025-07-18 08:13:00,M002,-2.0,26.21,11.21,527.0
2025-07-18 08:14:00,M009,-2.25,26.25,9.85,358.0
2025-07-18 08:15:00,M001,-3.9,23.38,9.49,516.0
2025-07-18 08:16:00,M006,-2.92,24.58,10.59,536.0
2025-07-18 08:17:00,M002,-2.23,26.08,9.52,556.0
2025-07-18 08:18:00,M010,-2.46,26.89,10.42,615.0
2025-07-18 08:19:00,M003,-2.54,25.82,9.81,344.0
2025-07-18 08:20:00,M007,-2.36,26.95,11.21,464.0
2025-07-18 08:21:00,M007,-3.11,26.07,10.14,539.0
2025-07-18 08:22:00,M003,-2.94,25.43,10.37,458.0
2025-07-18 08:23:00,M008,-3.78,27.08,10.69,739.0
2025-07-18 08:24:00,M010,-2.19,26.78,10.88,567.0
2025-07-18 08:25:00,M002,-3.29,25.84,9.85,555.0
2025-07-18 08:26:00,M010,-2.17,27.47,10.83,552.0
2025-07-18 08:27:00,M009,-2.79,27.56,10.29,813.0
2025-07-18 08:28:00,M005,-3.11,26.91,10.5,716.0
2025-07-18 08:29:00,M002,-3.8,27.59,11.07,577.0
2025-07-18 08:30:00,M002,-3.58,25.88,10.74,466.0
2025-07-18 08:31:00,M002,-3.73,26.81,10.36,713.0
2025-07-18 08:32:00,M006,-2.05,26.79,11.19,473.0
2025-07-18 08:33:00,M008,-2.51,24.77,9.22,616.0
2025-07-18 08:34:00,M003,-3.81,27.21,10.51,613.0
2025-07-18 08:35:00,M009,-2.94,26.71,10.76,480.0
2025-07-18 08:36:00,M003,-3.67,29.44,11.93,852.0
2025-07-18 08:37:00,M009,-3.45,25.78,10.73,655.0
2025-07-18 08:38:00,M003,-2.19,26.5,10.63,519.0
2025-07-18 08:39:00,M007,-3.9,27.21,10.57,543.0
2025-07-18 08:40:00,M010,-3.39,26.96,10.39,616.0
2025-07-18 08:41:00,M005,-3.07,27.73,11.73,600.0
2025-07-18 08:42:00,M007,-3.02,27.83,11.02,845.0
2025-07-18 08:43:00,M001,-3.31,28.6,11.79,728.0
2025-07-18 08:44:00,M006,-3.93,26.19,10.56,417.0
2025-07-18 08:45:00,M003,-3.7,27.86,10.94,814.0
2025-07-18 08:46:00,M004,-3.04,27.72,10.42,602.0
2025-07-18 08:47:00,M002,-3.64,28.36,11.52,825.0
2025-07-18 08:48:00,M006,-3.65,30.86,12.71,1054.0
2025-07-18 08:49:00,M001,-2.35,29.11,11.81,867.0
2025-07-18 08:50:00,M004,-2.58,27.78,11.68,718.0
2025-07-18 08:51:00,M007,-2.88,25.99,10.87,629.0
2025-07-18 08:52:00,M010,-2.53,30.29,12.41,1017.0
2025-07-18 08:53:00,M004,-2.47,27.78,11.98,607.0
2025-07-18 08:54:00,M004,-3.63,29.33,12.16,861.0
2025-07-18 08:55:00,M005,-2.9,26.61,10.26,701.0
2025-07-18 08:56:00,M008,-2.43,27.88,11.64,665.0
2025-07-18 08:57:00,M009,-3.75,29.5,11.13,955.0
2025-07-18 08:58:00,M002,-3.7,30.29,13.21,851.0
2025-07-18 08:59:00,M007,-2.5,27.5,10.71,677.0
2025-07-18 09:00:00,M001,-3.28,28.83,11.42,703.0
2025-07-18 09:01:00,M004,-2.66,29.24,11.53,757.0
2025-07-18 09:02:00,M010,-2.13,27.21,11.74,721.0
2025-07-18 09:03:00,M009,-2.51,30.36,11.44,921.0
2025-07-18 09:04:00,M004,-2.21,29.21,11.26,984.0
2025-07-18 09:05:00,M004,-2.44,29.67,10.53,1022.0
2025-07-18 09:06:00,M008,-2.96,28.6,11.06,895.0
2025-07-18 09:07:00,M005,-3.03,29.51,12.06,761.0
2025-07-18 09:08:00,M003,-3.79,30.13,12.25,818.0
2025-07-18 09:09:00,M002,-3.09,27.92,11.62,739.0
2025-07-18 09:10:00,M003,-3.47,28.16,10.84,628.0
2025-07-18 09:11:00,M007,-3.44,27.74,11.49,737.0
2025-07-18 09:12:00,M001,-3.46,29.24,11.8,889.0
2025-07-18 09:13:00,M004,-3.03,28.35,11.46,688.0
2025-07-18 09:14:00,M010,-2.24,28.47,12.84,738.0
2025-07-18 09:15:00,M009,-3.92,29.49,12.55,893.0
2025-07-18 09:16:00,M008,-2.31,29.01,11.18,848.0
2025-07-18 09:17:00,M003,-2.22,30.77,11.9,1016.0
2025-07-18 09:18:00,M007,-4.281599951854637,29.6,11.87,903.0
2025-07-18 09:19:00,M003,-2.38,28.24,11.66,601.0
2025-07-18 09:20:00,M005,-2.42,28.55,10.25,754.0
2025-07-18 09:21:00,M003,-2.37,29.52,11.23,999.0
2025-07-18 09:22:00,M003,-3.58,30.27,12.2,884.0
2025-07-18 09:23:00,M009,-3.34,30.52,12.68,966.0
2025-07-18 09:24:00,M006,-3.31,30.24,11.57,1163.0
2025-07-18 09:25:00,M003,-3.31,29.01,11.72,736.0
2025-07-18 09:26:00,M008,-2.54,31.44,13.56,1182.0
2025-07-18 09:27:00,M004,-3.46,27.7,11.46,442.0
2025-07-18 09:28:00,M008,-3.41,29.39,12.2,817.0
2025-07-18 09:29:00,M003,-2.78,30.76,12.74,931.0
2025-07-18 09:30:00,M001,-3.98,27.27,11.22,582.0
2025-07-18 09:31:00,M004,-3.33,29.64,12.07,868.0
2025-07-18 09:32:00,M010,-2.77,28.94,11.05,727.0
2025-07-18 09:33:00,M006,-3.85,29.95,11.69,986.0
2025-07-18 09:34:00,M009,-2.38,30.95,12.72,902.0
2025-07-18 09:35:00,M001,-2.44,29.78,12.07,1086.0
2025-07-18 09:36:00,M002,-3.71,30.39,12.09,1125.0
2025-07-18 09:37:00,M010,-3.76,31.44,13.48,1127.0
2025-07-18 09:38:00,M010,-3.86,29.43,11.64,777.0
2025-07-18 09:39:00,M004,-2.69,31.04,12.77,997.0
2025-07-18 09:40:00,M004,-2.42,30.31,12.14,1052.0
2025-07-18 09:41:00,M003,-2.26,30.09,12.8,1017.0
2025-07-18 09:42:00,M002,-3.82,31.33,12.71,1120.0
2025-07-18 09:43:00,M006,-2.67,30.98,12.89,1257.0
2025-07-18 09:44:00,M010,-2.5,28.84,11.7,707.0
2025-07-18 09:45:00,M007,-2.66,30.39,11.26,1190.0
2025-07-18 09:46:00,M006,-2.43,30.7,12.18,860.0
2025-07-18 09:47:00,M005,-2.09,31.04,11.57,932.0
2025-07-18 09:48:00,M004,-2.46,32.07,13.19,1126.0
2025-07-18 09:49:00,M005,-3.26,30.9,12.49,1164.0
2025-07-18 09:50:00,M007,-2.67,31.09,12.49,1120.0
2025-07-18 09:51:00,M006,-2.82,31.45,12.59,1047.0
2025-07-18 09:52:00,M010,-3.03,32.12,12.43,1195.0
2025-07-18 09:53:00,M005,-2.58,29.74,11.96,836.0
2025-07-18 09:54:00,M001,-3.32,31.38,12.53,1104.0
2025-07-18 09:55:00,M002,-3.9,31.24,12.14,990.0
2025-07-18 09:56:00,M003,-3.24,31.85,12.96,1134.0
2025-07-18 09:57:00,M010,-2.68,29.54,11.37,675.0
2025-07-18 09:58:00,M003,-2.53,30.97,13.0,948.0
